Inspetoria;Cidade;Votos
Araranguá; Araranguá;93
Araranguá; Balneário Arroio do Silva;10
Araranguá; Balneário Gaivota;12
Araranguá; Cocal do Sul;4
Araranguá; Ermo;1
Araranguá; Jacinto Machado;4
Araranguá; Maracajá;0
Araranguá; Meleiro;0
Araranguá; Morro Grande;2
Araranguá; Passo de Torres;2
Araranguá; Praia Grande;10
Araranguá; Santa Rosa do Sul;9
Araranguá; São João do Sul;14
Araranguá; Sombrio;274
Araranguá; Timbé do Sul;20
Araranguá; Turvo;14
Florianópolis; Águas Mornas;18
Florianópolis; Angelina;42
Florianópolis; Anitápolis;0
Florianópolis; Antônio Carlos;47
Florianópolis; Biguaçu;197
Florianópolis; Florianópolis;1236
Florianópolis; Governador Celso Ramos;42
Florianópolis; Palhoça;181
Florianópolis;Rancho Queimado;2
Florianópolis; Santo Amaro da Imperatriz;29
Florianópolis; São Bonifácio;2
Florianópolis; São José;519
Florianópolis; São Pedro de Alcântara;20
Criciúma; Balneário Rincão;2
Criciúma; Criciúma;130
Criciúma; Forquilhinha;6
Criciúma; Içara;18
Criciúma; Lauro Müller;7
Criciúma; Morro da Fumaça;1
Criciúma; Nova Veneza;14
Criciúma; Orleans;4
Criciúma; Siderópolis;5
Criciúma; Treviso;5
Criciúma; Urussanga;28
Tubarão; Armazém;4
Tubarão; Braço do Norte;5
Tubarão; Capivari de Baixo;0
Tubarão; Garopaba;22
Tubarão; Grão-Pará;0
Tubarão; Gravatal;6
Tubarão; Imaruí;0
Tubarão; Imbituba;32
Tubarão; Jaguaruna;8
Tubarão; Laguna;30
Tubarão; Paulo Lopes;10
Tubarão; Pedras Grandes;1
Tubarão; Pescaria Brava;14
Tubarão; Rio Fortuna;0
Tubarão; Sangão;0
Tubarão; Santa Rosa de Lima;0
Tubarão; São Ludgero;0
Tubarão; São Martinho;0
Tubarão; Treze de Maio;0
Tubarão; Tubarão;49
Blumenau; Apiúna;2
Blumenau; Ascurra;2
Blumenau; Benedito Novo;2
Blumenau; Blumenau;82
Blumenau; Doutor Pedrinho;0
Blumenau; Indaial;13
Blumenau; Pomerode;5
Blumenau; Rio dos Cedros;4
Blumenau; Rodeio;28
Blumenau; Timbó;13
Rio do Sul; Agrolândia;3
Rio do Sul; Agronômica;0
Rio do Sul; Atalanta;0
Rio do Sul; Aurora;0
Rio do Sul; Braço do Trombudo;0
Rio do Sul; Chapadão do Lageado;0
Rio do Sul; Dona Emma;0
Rio do Sul; Ibirama;5
Rio do Sul; Imbuia;17
Rio do Sul; Ituporanga;6
Rio do Sul; José Boiteux;0
Rio do Sul; Laurentino;11
Rio do Sul; Leoberto Leal;0
Rio do Sul; Lontras;1
Rio do Sul; Mirim Doce;0
Rio do Sul; Petrolândia;0
Rio do Sul; Pouso Redondo;0
Rio do Sul; Presidente Getúlio;3
Rio do Sul; Presidente Nereu;0
Rio do Sul; Rio do Campo;7
Rio do Sul; Rio do Oeste;1
Rio do Sul; Rio do Sul;49
Rio do Sul; Salete;4
Rio do Sul; Santa Terezinha;2
Rio do Sul; Taió;0
Rio do Sul; Trombudo Central;2
Rio do Sul; Vidal Ramos;7
Rio do Sul; Vitor Meireles;2
Rio do Sul; Witmarsum;0
Itajaí; Balneário Camboriú;342
Itajaí; Balneário Piçarras;26
Itajaí; Barra Velha;38
Itajaí; Bombinhas;16
Itajaí; Camboriú;60
Itajaí; Itajaí;203
Itajaí; Itapema;67
Itajaí; Luiz Alves;1
Itajaí; Navegantes;32
Itajaí; Penha;25
Itajaí; Porto Belo;20
Itajaí; São João do Itaperiú;1
Brusque; Botuverá;0
Brusque; Brusque;47
Brusque; Canelinha;6
Brusque; Gaspar;13
Brusque; Guabiruba;9
Brusque; Ilhota;1
Brusque; Major Gercino;6
Brusque; Nova Trento;13
Brusque; São João Batista;11
Brusque; Tijucas;36
Canoinhas; Bela Vista do Toldo;8
Canoinhas; Canoinhas;114
Canoinhas; Irineópolis;44
Canoinhas; Major Vieira;1
Canoinhas; Monte Castelo;0
Canoinhas; Papanduva;33
Canoinhas; Porto União;10
Canoinhas; Três Barras;15
Rio Negrinho; Campo Alegre;1
Rio Negrinho; Itaiópolis;4
Rio Negrinho; Mafra;146
Rio Negrinho; Rio Negrinho;88
Rio Negrinho; São Bento do Sul;72
Joinville; Araquari;12
Joinville; Balneário Barra do Sul;0
Joinville; Garuva;2
Joinville; Itapoá;3
Joinville; Joinville;148
Joinville; São Francisco do Sul;9
Jaraguá do Sul; Corupá;1
Jaraguá do Sul; Guaramirim;8
Jaraguá do Sul; Jaraguá do Sul;85
Jaraguá do Sul; Massaranduba;0
Jaraguá do Sul; Schroeder;2
Curitibanos; Brunópolis;0
Curitibanos; Curitibanos;57
Curitibanos; Frei Rogério;1
Curitibanos; Monte Carlo;2
Curitibanos; Ponte Alta do Norte;0
Curitibanos; São Cristóvão do Sul;3
Curitibanos;Ponte Alta;2
Lages; Abdon Batista;3
Lages; Anita Garibaldi;3
Lages; Bocaina do Sul;0
Lages; Campo Belo do Sul;12
Lages; Capão Alto;5
Lages; Cerro Negro;1
Lages; Correia Pinto;3
Lages; Lages;127
Lages; Otacílio Costa;2
Lages; Painel;1
Lages; Palmeira;0
Lages; São José do Cerrito;0
São Joaquim; Alfredo Wagner;12
São Joaquim; Bom Jardim da Serra;6
São Joaquim; Bom Retiro;17
São Joaquim; Rio Rufino;0
São Joaquim; São Joaquim;114
São Joaquim; Urubici;6
São Joaquim; Urupema;0
São Lourenço do Oeste; Campo Erê;3
São Lourenço do Oeste; Coronel Martins;1
São Lourenço do Oeste; Formosa do Sul;3
São Lourenço do Oeste; Galvão;3
São Lourenço do Oeste; Irati;0
São Lourenço do Oeste; Jardinópolis;0
São Lourenço do Oeste; Jupiá;0
São Lourenço do Oeste; Novo Horizonte;2
São Lourenço do Oeste; Quilombo;3
São Lourenço do Oeste; Saltinho;0
São Lourenço do Oeste; Santiago do Sul;0
São Lourenço do Oeste; São Bernardino;6
São Lourenço do Oeste; São Lourenço do Oeste;36
São Lourenço do Oeste; Serra Alta;0
São Lourenço do Oeste; Sul Brasil;2
São Lourenço do Oeste; União do Oeste;1
Chapecó; Águas de Chapecó;0
Chapecó; Caxambu do Sul;0
Chapecó; Chapecó;131
Chapecó; Cordilheira Alta;0
Chapecó; Coronel Freitas;4
Chapecó; Flor do Sertão;0
Chapecó; Nova Itaberaba;0
Chapecó; Planalto Alegre;0
Chapecó; São Carlos;2
Chapecó;Guatambu;0
São Miguel do Oeste; Águas Frias;0
São Miguel do Oeste; Anchieta;5
São Miguel do Oeste; Bandeirante;1
São Miguel do Oeste; Barra Bonita;0
São Miguel do Oeste; Belmonte;0
São Miguel do Oeste; Bom Jesus do Oeste;0
São Miguel do Oeste; Caibi;6
São Miguel do Oeste; Cunha Porã;4
São Miguel do Oeste; Cunhataí;0
São Miguel do Oeste; Descanso;0
São Miguel do Oeste; Dionísio Cerqueira;31
São Miguel do Oeste; Flor do Sertão;0
São Miguel do Oeste; Guaraciaba;0
São Miguel do Oeste; Guarujá do Sul;0
São Miguel do Oeste; Iporã do Oeste;4
São Miguel do Oeste; Iraceminha;0
São Miguel do Oeste; Itapiranga;0
São Miguel do Oeste; Maravilha;8
São Miguel do Oeste; Modelo;0
São Miguel do Oeste; Mondaí;2
São Miguel do Oeste; Nova Erechim;2
São Miguel do Oeste; Palma Sola;0
São Miguel do Oeste; Palmitos;44
São Miguel do Oeste; Paraíso;0
São Miguel do Oeste; Pinhalzinho;14
São Miguel do Oeste; Princesa;8
São Miguel do Oeste; Riqueza;0
São Miguel do Oeste; Romelândia;5
São Miguel do Oeste; Santa Helena;0
São Miguel do Oeste; Santa Terezinha do Progresso;0
São Miguel do Oeste; São João do Oeste;1
São Miguel do Oeste; São José do Cedro;40
São Miguel do Oeste; São Miguel da Boa Vista;0
São Miguel do Oeste; São Miguel do Oeste;30
São Miguel do Oeste; Saudades;3
São Miguel do Oeste; Tigrinhos;0
São Miguel do Oeste; Tunápolis;0
Xanxerê; Abelardo Luz;4
Xanxerê; Bom Jesus;0
Xanxerê; Entre Rios;0
Xanxerê; Faxinal dos Guedes;7
Xanxerê; Ipuaçu;3
Xanxerê; Lajeado Grande;1
Xanxerê; Marema;3
Xanxerê; Ouro Verde;2
Xanxerê; Passos Maia;1
Xanxerê; Ponte Serrada;5
Xanxerê; São Domingos;0
Xanxerê; Vargeão;1
Xanxerê; Xanxerê;118
Xanxerê; Xaxim;12
Concórdia; Alto Bela Vista;1
Concórdia; Arabutã;0
Concórdia; Arvoredo;4
Concórdia; Concórdia;66
Concórdia; Ipira;0
Concórdia; Ipumirim;4
Concórdia; Irani;12
Concórdia; Itá;11
Concórdia; Jaborá;12
Concórdia; Lindóia do Sul;2
Concórdia; Paial;0
Concórdia; Peritiba;2
Concórdia; Piratuba;2
Concórdia; Presidente Castello Branco;0
Concórdia; Seara;5
Concórdia; Xavantina;7
Joaçaba; Água Doce;12
Joaçaba; Campos Novos;105
Joaçaba; Capinzal;9
Joaçaba; Catanduvas;25
Joaçaba; Celso Ramos;1
Joaçaba; Erval Velho;4
Joaçaba; Herval d'Oeste;28
Joaçaba; Ibicaré;0
Joaçaba; Joaçaba;69
Joaçaba; Lacerdópolis;7
Joaçaba; Luzerna;14
Joaçaba; Ouro;3
Joaçaba; Treze Tílias;10
Joaçaba; Vargem;4
Joaçaba; Vargem Bonita;4
Joaçaba; Zortéa;2
Videira; Arroio Trinta;13
Videira; Fraiburgo;44
Videira; Ibiam;3
Videira; Iomerê;7
Videira; Pinheiro Preto;9
Videira; Salto Veloso;3
Videira; Tangará;12
Videira; Videira;265
Caçador; Caçador;94
Caçador; Calmon;0
Caçador; Lebon Régis;13
Caçador; Macieira;4
Caçador; Matos Costa;0
Caçador; Rio das Antas;3
Caçador; Santa Cecília;7
Caçador; Timbó Grande;1